attraction_id,name,rating,address,opening_hours,description,nearby_attractions,level
11,"果果塘大拐弯",4.6,"西藏自治区林芝市墨脱县墨脱镇G219","全年全天开放","雅鲁藏布江在果果塘这里盘了一个大弯，当地也叫蛇形弯。果果塘大拐弯因其俯瞰像一个棒棒糖，所以得名果果塘。","[{'name': '阿隆日', 'distance': '直线距离403m'}, {'name': '达哈日', 'distance': '直线距离1.4km'}, {'name': '藤桥', 'distance': '直线距离2.1km'}, {'name': '亲江景区', 'distance': '直线距离3.2km'}, {'name': '香哥隆', 'distance': '直线距离3.5km'}, {'name': '三香一链观景台', 'distance': '直线距离4.5km'}, {'name': '莲花阁', 'distance': '直线距离4.9km'}, {'name': '果果塘大拐弯', 'distance': '海滨沙滩'}, {'name': '墨脱解放大桥', 'distance': '地标观景'}, {'name': '墨脱博物馆', 'distance': '博物馆'}, {'name': '喜马拉雅山脉', 'distance': '登高爬山'}, {'name': '嘎隆拉', 'distance': '登高爬山'}, {'name': '海市蜃楼观景台', 'distance': 'N/A'}, {'name': '格林村观景台', 'distance': 'N/A'}]",N/A
12,"苯日景区",4.6,"林芝市巴宜区X401",N/A,"苯日景区雅尼湿地景区（原苯日神山）是西藏原生苯教的神山，矗立于八一镇东南侧，由一组高度差不多的山峰组成，其山顶中年云雾缭绕。山腰林木茂密，鲜花盛开，四时不同。林间古寺中供奉着苯教创始人辛绕米沃。 苯日神山是苯教的神山，一年四季都有信徒来此转山朝拜。山间的苯教古寺每12年举办一次大型宗教活动，称：娘布拉索节。其规模浩大，善男信女众多，持续时间之久，全区罕见。","[{'name': '雅尼玻璃观景台', 'distance': '直线距离<100m'}, {'name': '两江汇流处', 'distance': '直线距离782m'}, {'name': '拉日江多寺', 'distance': '直线距离870m'}, {'name': '羌纳寺', 'distance': '直线距离3.2km'}, {'name': '雅尼国家湿地公园', 'distance': '直线距离3.7km'}, {'name': '尼洋河风光带', 'distance': '直线距离3.7km'}, {'name': '尼洋河观景台', 'distance': '直线距离3.7km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
13,"岗云杉林",4.6,"西藏自治区林芝市波密县扎木镇岗村",N/A,"岗云杉林位于波密，森林覆盖率达61%以上，里面的草湖非常美丽，眺望岗云杉林，远处的雪山在云间若隐若现，湖泊、高山、河流和绿树，构成了一幅迷人的画卷。","[{'name': '岗乡自然保护区', 'distance': '直线距离<100m'}, {'name': '错卡', 'distance': '直线距离403m'}, {'name': '巴卡村', 'distance': '直线距离1.1km'}, {'name': '日则棍杷', 'distance': '直线距离2.1km'}, {'name': '雪迹秘境营地', 'distance': '直线距离3.4km'}, {'name': '藏芝星茶文化旅游研学中心', 'distance': '直线距离3.8km'}, {'name': '巴卡寺', 'distance': '直线距离4.0km'}, {'name': '米堆冰川', 'distance': '自然山水'}, {'name': '岗云杉林', 'distance': '踏青必去'}, {'name': '波密桃花沟', 'distance': '赏花胜地'}, {'name': '嘎瓦龙景区', 'distance': '登高爬山'}, {'name': '古乡湖景区', 'distance': '登高爬山'}, {'name': '通麦大桥', 'distance': '地标观景'}, {'name': '通麦天险', 'distance': '城市漫步'}]",N/A
14,"波密桃花沟",4.8,"林芝市波密县桃花沟风景区","全年全天开放","说起林芝桃花沟，很多人会想起八一镇东南嘎拉村附近的大片桃花，但其实波密也有一片桃花沟丝毫也不逊色。波密桃花沟位于318国道靠近嘎朗村附近的地带，绵延近30公里，花期略早于八一镇的桃花沟，每年3月簇簇粉红装点在路边，是摄影的好地方。一入沟口，桃花簇簇，风景渐佳。","[{'name': '嘎朗湖景区', 'distance': '直线距离336m'}, {'name': '嘎郎景区', 'distance': '直线距离872m'}, {'name': '嘎朗村', 'distance': '直线距离1.7km'}, {'name': '卡拉错', 'distance': '直线距离2.4km'}, {'name': '西藏嘎朗国家湿地公园', 'distance': '直线距离2.8km'}, {'name': '嘎朗王宫遗址', 'distance': '直线距离2.8km'}, {'name': '藏芝星茶文化旅游研学中心', 'distance': '直线距离4.0km'}, {'name': '米堆冰川', 'distance': '自然山水'}, {'name': '岗云杉林', 'distance': '踏青必去'}, {'name': '波密桃花沟', 'distance': '赏花胜地'}, {'name': '嘎瓦龙景区', 'distance': '登高爬山'}, {'name': '古乡湖景区', 'distance': '登高爬山'}, {'name': '通麦大桥', 'distance': '地标观景'}, {'name': '通麦天险', 'distance': '城市漫步'}]",N/A
15,"雅鲁藏布江",4.6,"林芝市米林县",N/A,"雅鲁藏布江在古代藏文文献中称为“央恰布藏布”，它源出于喜巴拉雅山脉中段北麓冰山雪岭之中的杰马央宗冰川。水能蕴藏量丰富，在中国仅次于长江。","[{'name': '苯教古秀寺', 'distance': '直线距离1.4km'}, {'name': '吉日寺', 'distance': '直线距离1.6km'}, {'name': '卡斯木村', 'distance': '直线距离2.0km'}, {'name': '尼洋曲', 'distance': '直线距离2.4km'}, {'name': '真巴村', 'distance': '直线距离2.5km'}, {'name': '苯日神山', 'distance': '直线距离3.2km'}, {'name': '达则寺', 'distance': '直线距离3.7km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
16,"结巴村",4.6,"林芝市工布江达县","全年全天开放","结巴村位于巴松措湖南岸凹地处，是工布藏族的齐聚地，也是兴赤赞步王宫遗址。“结巴”藏语意为“遗忘”，和着这里的山水，名字倒也颇有诗意，进入这里仿佛进入到了藏地里的桃花源般恍如隔世。沐浴于雪山与碧波之中的结巴村，晨日照下的田园、桃树下的农舍、纯朴的村民与孩童，袅袅炊烟，伴随着工布人劳动的声音如仙境般，美得醉人。 原始工布风情的藏式村落结巴村就像一个被世人遗忘的世外桃源，在雪山、森林、绿水的怀抱中，宛若仙境。","[{'name': '松赞巴松措林卡', 'distance': '直线距离448m'}, {'name': '结布民俗村观光亭', 'distance': '直线距离506m'}, {'name': '巴松措星空户外泡泡帐篷营地', 'distance': '直线距离867m'}, {'name': '巴松措▪喜玛拉雅轻奢露营地', 'distance': '直线距离890m'}, {'name': '巴松措', 'distance': '直线距离1.4km'}, {'name': '扎西岛', 'distance': '直线距离1.4km'}, {'name': '卡巴拉日', 'distance': '直线距离3.5km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '新措', 'distance': '自然山水'}, {'name': '米拉山口', 'distance': '登高爬山'}, {'name': '结巴村', 'distance': '古镇古村'}, {'name': '巴松措环湖游船', 'distance': '乘船游览'}, {'name': '林拉公路', 'distance': '城市漫步'}, {'name': '尼洋河', 'distance': '登高爬山'}]",N/A
17,"鲁朗景区",4.5,"西藏自治区林芝市巴宜区鲁朗镇318国道附近",N/A,N/A,"[{'name': '德木冷泉河', 'distance': '直线距离332m'}, {'name': '鲁朗骑马场射箭场', 'distance': '直线距离376m'}, {'name': '鲁朗小镇牌坊', 'distance': '直线距离915m'}, {'name': '高山牧场', 'distance': '直线距离2.8km'}, {'name': '纳麦村', 'distance': '直线距离3.0km'}, {'name': '田园风光观景台', 'distance': '直线距离3.0km'}, {'name': '鲁朗国际旅游小镇', 'distance': '直线距离3.5km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
18,"新措",4.8,"西藏自治区林芝市工布江达县工布江达错高乡错久村","全年全天开放","“新”在藏语中是“木头、树”的意思，新措即指像一棵倒下的树形状的湖。也有人说，之所以叫“新措”，意思便是“新发现的湖”。 新措，知道它的人还很少，想来需走路两小时以上才能抵达也阻挡了相当一部分景点游热衷者。但凡了解的人都会说：新措之美太值得去徒步露营。而且，这世上的路若都是平路，也根本不会体验到徒步那份先苦后甜的酣畅舒怀了。","[{'name': '油比弄巴', 'distance': '直线距离7.1km'}, {'name': '门结母错', 'distance': '直线距离7.5km'}, {'name': '母那错', 'distance': '直线距离9.3km'}, {'name': '白朗曲', 'distance': '直线距离9.8km'}, {'name': '名当错', 'distance': '直线距离10.1km'}, {'name': '桑巴错', 'distance': '直线距离10.4km'}, {'name': '普钢落错', 'distance': '直线距离10.5km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '新措', 'distance': '自然山水'}, {'name': '米拉山口', 'distance': '登高爬山'}, {'name': '结巴村', 'distance': '古镇古村'}, {'name': '巴松措环湖游船', 'distance': '乘船游览'}, {'name': '林拉公路', 'distance': '城市漫步'}, {'name': '尼洋河', 'distance': '登高爬山'}]",N/A
19,"波密桃花沟",4.8,"林芝市波密县桃花沟风景区","全年全天开放","说起林芝桃花沟，很多人会想起八一镇东南嘎拉村附近的大片桃花，但其实波密也有一片桃花沟丝毫也不逊色。波密桃花沟位于318国道靠近嘎朗村附近的地带，绵延近30公里，花期略早于八一镇的桃花沟，每年3月簇簇粉红装点在路边，是摄影的好地方。一入沟口，桃花簇簇，风景渐佳。","[{'name': '嘎朗湖景区', 'distance': '直线距离336m'}, {'name': '嘎郎景区', 'distance': '直线距离872m'}, {'name': '嘎朗村', 'distance': '直线距离1.7km'}, {'name': '卡拉错', 'distance': '直线距离2.4km'}, {'name': '西藏嘎朗国家湿地公园', 'distance': '直线距离2.8km'}, {'name': '嘎朗王宫遗址', 'distance': '直线距离2.8km'}, {'name': '藏芝星茶文化旅游研学中心', 'distance': '直线距离4.0km'}, {'name': '米堆冰川', 'distance': '自然山水'}, {'name': '岗云杉林', 'distance': '踏青必去'}, {'name': '波密桃花沟', 'distance': '赏花胜地'}, {'name': '嘎瓦龙景区', 'distance': '登高爬山'}, {'name': '古乡湖景区', 'distance': '登高爬山'}, {'name': '通麦大桥', 'distance': '地标观景'}, {'name': '通麦天险', 'distance': '城市漫步'}]",N/A
20,"色季拉山",4.6,"西藏自治区林芝市巴宜区","全年全天开放","色季拉山位于八一镇的东南侧，走川藏线时，波密到八一路上即会经过，是川藏线上有名的地标。色季拉山山口海拔4728米，视野开阔，可以远眺到鲁朗林海和背后的南迦巴瓦峰，是拍照的好地方。 山间遍布的杜鹃花也是色季拉山的有名景观，每年4-6月，从山脚到山腰，多达二十几种杜鹃在山间渐次开放，颜色、形状都多种多样，鲜艳夺目，结合着山口飘扬的五彩经幡，景色绚丽。游人经过时，都不免会驻足观赏。","[{'name': '色季拉山口', 'distance': '直线距离1.5km'}, {'name': '色季拉山观景台', 'distance': '直线距离1.5km'}, {'name': '楚什列古', 'distance': '直线距离4.5km'}, {'name': '鲁朗林海', 'distance': '直线距离4.6km'}, {'name': '美多查摸拉', 'distance': '直线距离4.6km'}, {'name': '鲁朗林海第一观景台', 'distance': '直线距离4.7km'}, {'name': '巴希烈古', 'distance': '直线距离7.1km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
21,"雅鲁藏布江",4.6,"林芝市米林县",N/A,"雅鲁藏布江在古代藏文文献中称为“央恰布藏布”，它源出于喜巴拉雅山脉中段北麓冰山雪岭之中的杰马央宗冰川。水能蕴藏量丰富，在中国仅次于长江。","[{'name': '苯教古秀寺', 'distance': '直线距离1.4km'}, {'name': '吉日寺', 'distance': '直线距离1.6km'}, {'name': '卡斯木村', 'distance': '直线距离2.0km'}, {'name': '尼洋曲', 'distance': '直线距离2.4km'}, {'name': '真巴村', 'distance': '直线距离2.5km'}, {'name': '苯日神山', 'distance': '直线距离3.2km'}, {'name': '达则寺', 'distance': '直线距离3.7km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
22,"鲁朗国际旅游小镇",4.7,"林芝市巴宜区沪聂线鲁朗珠江国际酒店西北侧约220米","全年全天开放",N/A,"[{'name': '鲁朗恒大演艺中心', 'distance': '直线距离116m'}, {'name': '鲁朗镇', 'distance': '直线距离258m'}, {'name': '广药白云山藏式养生古堡', 'distance': '直线距离287m'}, {'name': '高山牧场', 'distance': '直线距离1.1km'}, {'name': '纳麦村', 'distance': '直线距离1.3km'}, {'name': '扎西岗民俗村', 'distance': '直线距离2.2km'}, {'name': '扎西岗村', 'distance': '直线距离2.5km'}, {'name': '巴松措', 'distance': '自然山水'}, {'name': '雅鲁藏布大峡谷', 'distance': '登高爬山'}, {'name': '南迦巴瓦峰', 'distance': '赏花胜地'}, {'name': '索松村', 'distance': '赏花胜地'}, {'name': '卡定沟景区', 'distance': '自然山水'}, {'name': '措木及日', 'distance': '自然山水'}, {'name': '鲁朗林海', 'distance': '踏青必去'}]",N/A
